state,district,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_,total_enrol,total_updates,update_intensity,update_zscore
100000,100000,0.0,1.0,217.0,0.0,2.0,0.0,0.0,218.0,2.0,0.0091324200913242,-0.6151423989472968
Andaman & Nicobar Islands,Andamans,70.0,5.0,0.0,7.0,743.0,343.0,1672.0,75.0,2765.0,36.38157894736842,0.2229404453684833
Andaman & Nicobar Islands,Nicobars,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,6.0,3.0,-0.5462277383274255
Andaman & Nicobar Islands,South Andaman,38.0,0.0,0.0,6.0,299.0,61.0,306.0,38.0,672.0,17.23076923076923,-0.21832668430345784
Andaman and Nicobar Islands,Nicobar,64.0,11.0,0.0,58.0,729.0,992.0,819.0,75.0,2598.0,34.18421052631579,0.17230935089579244
Andaman and Nicobar Islands,North And Middle Andaman,128.0,4.0,0.0,112.0,1897.0,3780.0,2603.0,132.0,8392.0,63.097744360902254,0.8385261987819611
Andaman and Nicobar Islands,South Andaman,178.0,12.0,0.0,434.0,2957.0,6629.0,3491.0,190.0,13511.0,70.73821989528795,1.0145757109581899
Andhra Pradesh,Adilabad,1137.0,281.0,1.0,2596.0,26695.0,12208.0,39830.0,1419.0,81329.0,57.27394366197183,0.7043359553286505
Andhra Pradesh,Alluri Sitharama Raju,1105.0,116.0,34.0,1569.0,11302.0,8438.0,10169.0,1255.0,31478.0,25.062101910828027,-0.03787949985671674
Andhra Pradesh,Anakapalli,523.0,12.0,8.0,1772.0,11688.0,3542.0,3181.0,543.0,20183.0,37.10110294117647,0.23951949827414568
Andhra Pradesh,Anantapur,4089.0,326.0,0.0,8956.0,59789.0,35834.0,57731.0,4415.0,162310.0,36.75498188405797,0.2315442822047532
Andhra Pradesh,Ananthapur,1843.0,151.0,0.0,9092.0,20934.0,64082.0,20050.0,1994.0,114158.0,57.22205513784461,0.7031403557460029
Andhra Pradesh,Ananthapuramu,3018.0,159.0,10.0,11812.0,44132.0,90533.0,19069.0,3187.0,165546.0,51.92785445420326,0.5811529946814336
Andhra Pradesh,Annamayya,868.0,48.0,105.0,5789.0,27845.0,5790.0,3922.0,1021.0,43346.0,42.41291585127202,0.3619126749010637
Andhra Pradesh,Bapatla,421.0,55.0,16.0,2008.0,11506.0,3899.0,2083.0,492.0,19496.0,39.545638945233264,0.29584575297839916
Andhra Pradesh,Chittoor,7493.0,659.0,43.0,28652.0,140927.0,168710.0,82695.0,8195.0,420984.0,51.364568081991216,0.5681739215076299
Andhra Pradesh,Cuddapah,5519.0,413.0,2.0,11074.0,72593.0,115127.0,55669.0,5934.0,254463.0,42.87497893850042,0.3725593919457172
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,618.0,30.0,17.0,1752.0,12404.0,4352.0,2954.0,665.0,21462.0,32.22522522522522,0.1271710077304642
Andhra Pradesh,East Godavari,7161.0,507.0,10.0,19090.0,136935.0,204904.0,96946.0,7678.0,457875.0,59.62690454486261,0.7585521639583893
Andhra Pradesh,Eluru,568.0,45.0,16.0,2346.0,15238.0,4288.0,3942.0,629.0,25814.0,40.974603174603175,0.328771511900822
Andhra Pradesh,Guntur,8769.0,925.0,35.0,22026.0,155195.0,187665.0,104029.0,9729.0,468915.0,48.19270298047277,0.49508877107451316
Andhra Pradesh,Hyderabad,3831.0,1008.0,1.0,4382.0,31824.0,23363.0,82381.0,4840.0,141950.0,29.322454038421814,0.06028623739174991
Andhra Pradesh,K.V.Rangareddy,55.0,14.0,0.0,48.0,470.0,168.0,605.0,69.0,1291.0,18.442857142857143,-0.19039812348581794
Andhra Pradesh,K.v. Rangareddy,15.0,4.0,0.0,32.0,134.0,216.0,188.0,19.0,570.0,28.5,0.041335501720927426
Andhra Pradesh,Kakinada,858.0,84.0,27.0,3621.0,24648.0,7141.0,4557.0,969.0,39967.0,41.203092783505156,0.33403629993705053
Andhra Pradesh,Karim Nagar,71.0,11.0,0.0,82.0,1069.0,387.0,1310.0,82.0,2848.0,34.31325301204819,0.17528270858288364
Andhra Pradesh,Karimnagar,552.0,107.0,0.0,967.0,9364.0,4338.0,12789.0,659.0,27458.0,41.6030303030303,0.3432515385562308
Andhra Pradesh,Khammam,869.0,264.0,0.0,4648.0,27720.0,15536.0,25422.0,1133.0,73326.0,64.66137566137566,0.8745549153759679
Andhra Pradesh,Krishna,6163.0,540.0,34.0,13459.0,98390.0,146788.0,86459.0,6737.0,345096.0,51.21638468388246,0.5647595247423689
Andhra Pradesh,Kurnool,10923.0,823.0,24.0,29378.0,148267.0,242992.0,107641.0,11770.0,528278.0,44.87961940361907,0.41874970750717405
Andhra Pradesh,Mahabub Nagar,1079.0,432.0,0.0,444.0,12369.0,822.0,13030.0,1511.0,26665.0,17.63558201058201,-0.20899911142032931
Andhra Pradesh,Mahabubnagar,7.0,0.0,0.0,13.0,68.0,39.0,81.0,7.0,201.0,25.125,-0.036430221226648705
